Time,HR (bpm),Speed (km/h),Pace (min/km),Distances (m)
0 days 00:00:01,113,0.5,132:34,0.76
0 days 00:00:02,114,0.4,133:27,1.52
0 days 00:00:03,114,0.5,120:16,2.29
0 days 00:00:04,114,0.5,116:59,3.05
0 days 00:00:05,113,0.6,108:11,3.81
0 days 00:00:06,111,0.4,136:20,4.57
0 days 00:00:07,109,0.5,129:49,5.34
0 days 00:00:08,109,0.5,115:46,6.1
0 days 00:00:09,107,0.5,120:16,6.86
0 days 00:00:10,107,0.6,98:38,7.62
0 days 00:00:11,108,0.5,114:17,8.39
0 days 00:00:12,109,0.5,127:49,9.15
0 days 00:00:13,110,0.4,165:15,9.91
0 days 00:00:14,110,0.3,231:18,10.67
0 days 00:00:15,110,0.3,209:17,11.44
0 days 00:00:16,109,0.3,173:49,12.2
0 days 00:00:17,107,0.3,190:14,12.96
0 days 00:00:18,105,0.4,166:04,13.72
0 days 00:00:19,103,0.4,169:44,14.48
0 days 00:00:20,102,0.3,207:15,15.25
0 days 00:00:21,102,0.3,210:40,16.01
0 days 00:00:22,103,0.5,128:21,16.77
0 days 00:00:23,104,0.5,122:33,17.53
0 days 00:00:24,105,0.6,108:10,18.3
0 days 00:00:25,105,0.6,99:16,19.06
0 days 00:00:26,105,0.5,112:37,19.82
0 days 00:00:27,106,0.5,129:24,20.58
0 days 00:00:28,107,0.3,172:07,21.35
0 days 00:00:29,108,0.3,180:27,22.11
0 days 00:00:30,108,0.3,203:28,22.87
0 days 00:00:31,109,0.2,247:01,23.63
0 days 00:00:32,109,0.2,276:53,24.4
0 days 00:00:33,109,0.2,369:00,25.16
0 days 00:00:34,107,0.1,469:51,25.92
0 days 00:00:35,107,0.1,00:00,26.68
0 days 00:00:36,104,0.1,00:00,27.44
0 days 00:00:37,101,0.1,00:00,28.21
0 days 00:00:38,102,0.1,00:00,28.97
0 days 00:00:39,103,0.1,468:01,29.73
0 days 00:00:40,105,0.3,202:13,30.49
0 days 00:00:41,107,0.4,168:38,31.26
0 days 00:00:42,109,0.3,200:04,32.02
0 days 00:00:43,110,0.3,235:23,32.78
0 days 00:00:44,110,0.2,325:02,33.54
0 days 00:00:45,109,0.2,387:06,34.31
0 days 00:00:46,109,0.1,417:15,35.07
0 days 00:00:47,108,0.1,558:40,35.83
0 days 00:00:48,107,0.1,00:00,36.59
0 days 00:00:49,109,0.1,00:00,37.36
0 days 00:00:50,109,0.0,00:00,38.12
0 days 00:00:51,110,0.0,00:00,38.88
0 days 00:00:52,110,0.0,00:00,39.64
0 days 00:00:53,110,0.4,142:25,40.4
0 days 00:00:54,110,0.6,100:51,40.79
0 days 00:00:55,110,0.4,151:17,40.81
0 days 00:00:56,110,0.3,226:56,40.81
0 days 00:00:57,111,0.2,340:20,40.81
0 days 00:00:58,111,0.1,510:38,40.81
0 days 00:00:59,110,0.1,00:00,40.81
0 days 00:01:00,106,0.1,00:00,40.81
0 days 00:01:01,99,0.0,00:00,40.81
0 days 00:01:02,96,0.0,00:00,40.81
0 days 00:01:03,96,0.0,00:00,40.81
0 days 00:01:04,97,0.0,00:00,40.81
0 days 00:01:05,100,0.0,00:00,40.81
0 days 00:01:06,103,0.0,00:00,40.81
0 days 00:01:07,106,0.0,00:00,40.81
0 days 00:01:08,107,0.0,00:00,40.81
0 days 00:01:09,108,0.0,00:00,40.81
0 days 00:01:10,108,0.0,00:00,40.81
0 days 00:01:11,109,0.0,00:00,40.81
0 days 00:01:12,107,0.0,00:00,40.81
0 days 00:01:13,96,0.0,00:00,40.81
0 days 00:01:14,95,0.0,00:00,40.81
0 days 00:01:15,97,0.0,00:00,40.81
0 days 00:01:16,100,0.0,00:00,40.81
0 days 00:01:17,101,0.0,00:00,40.81
0 days 00:01:18,102,0.0,00:00,40.81
0 days 00:01:19,102,0.0,00:00,40.81
0 days 00:01:20,101,0.0,00:00,40.81
0 days 00:01:21,100,0.0,00:00,40.81
0 days 00:01:22,101,0.0,00:00,40.81
0 days 00:01:23,101,0.0,00:00,40.81
0 days 00:01:24,101,0.0,00:00,40.81
0 days 00:01:25,104,0.0,00:00,40.81
0 days 00:01:26,104,0.0,00:00,40.81
0 days 00:01:27,103,0.0,00:00,40.81
0 days 00:01:28,103,0.0,00:00,40.81
0 days 00:01:29,103,0.0,00:00,40.81
0 days 00:01:30,105,0.0,00:00,40.81
0 days 00:01:31,106,0.0,00:00,40.81
0 days 00:01:32,107,0.0,00:00,40.81
0 days 00:01:33,107,0.0,00:00,40.81
0 days 00:01:34,106,0.0,00:00,40.81
0 days 00:01:35,106,0.0,00:00,40.81
0 days 00:01:36,105,0.0,00:00,40.81
0 days 00:01:37,101,0.0,00:00,40.81
0 days 00:01:38,100,0.0,00:00,40.81
0 days 00:01:39,101,0.0,00:00,40.81
0 days 00:01:40,103,0.0,00:00,40.81
0 days 00:01:41,106,0.0,00:00,40.81
0 days 00:01:42,107,0.0,00:00,40.81
0 days 00:01:43,109,0.0,00:00,40.81
0 days 00:01:44,110,0.0,00:00,40.81
0 days 00:01:45,110,0.0,00:00,40.81
0 days 00:01:46,109,0.0,00:00,40.81
0 days 00:01:47,109,0.0,00:00,40.81
0 days 00:01:48,108,0.0,00:00,40.81
0 days 00:01:49,108,0.0,00:00,40.81
0 days 00:01:50,108,0.0,00:00,40.81
0 days 00:01:51,108,0.0,00:00,40.81
0 days 00:01:52,109,0.0,00:00,40.81
0 days 00:01:53,109,0.0,00:00,40.81
0 days 00:01:54,110,0.0,00:00,40.81
0 days 00:01:55,111,0.0,00:00,40.81
0 days 00:01:56,112,0.0,00:00,40.81
0 days 00:01:57,111,0.0,00:00,40.81
0 days 00:01:58,110,0.0,00:00,40.81
0 days 00:01:59,110,0.0,00:00,40.81
0 days 00:02:00,107,0.0,00:00,40.81
0 days 00:02:01,105,0.0,00:00,40.81
0 days 00:02:02,106,0.0,00:00,40.81
0 days 00:02:03,107,0.0,00:00,40.81
0 days 00:02:04,108,0.0,00:00,40.81
0 days 00:02:05,109,0.0,00:00,40.81
0 days 00:02:06,109,0.0,00:00,40.81
0 days 00:02:07,109,0.0,00:00,40.81
0 days 00:02:08,107,0.0,00:00,40.81
0 days 00:02:09,106,0.0,00:00,40.81
0 days 00:02:10,106,0.0,00:00,40.81
0 days 00:02:11,106,0.0,00:00,40.81
0 days 00:02:12,107,0.0,00:00,40.81
0 days 00:02:13,109,0.0,00:00,40.81
0 days 00:02:14,109,0.0,00:00,40.81
0 days 00:02:15,107,0.0,00:00,40.81
0 days 00:02:16,107,0.0,00:00,40.81
0 days 00:02:17,107,0.0,00:00,40.81
0 days 00:02:18,107,0.0,00:00,40.81
0 days 00:02:19,108,0.0,00:00,40.81
0 days 00:02:20,108,0.0,00:00,40.81
0 days 00:02:21,112,0.0,00:00,40.81
0 days 00:02:22,110,0.0,00:00,40.81
0 days 00:02:23,110,0.0,00:00,40.81
0 days 00:02:24,110,0.0,00:00,40.81
0 days 00:02:25,110,0.0,00:00,40.81
0 days 00:02:26,111,0.0,00:00,40.81
0 days 00:02:27,111,0.0,00:00,40.81
0 days 00:02:28,112,0.0,00:00,40.81
0 days 00:02:29,112,0.0,00:00,40.81
0 days 00:02:30,113,0.0,00:00,40.81
0 days 00:02:31,116,0.0,00:00,40.81
0 days 00:02:32,117,0.0,00:00,40.81
0 days 00:02:33,121,0.0,00:00,40.81
0 days 00:02:34,122,0.0,00:00,40.81
0 days 00:02:35,122,0.0,00:00,40.81
0 days 00:02:36,123,0.0,00:00,40.81
0 days 00:02:37,124,0.0,00:00,40.81
0 days 00:02:38,125,0.0,00:00,40.81
0 days 00:02:39,125,0.0,00:00,40.81
0 days 00:02:40,125,0.0,00:00,40.81
0 days 00:02:41,125,0.0,00:00,40.81
0 days 00:02:42,125,0.0,00:00,40.81
0 days 00:02:43,125,0.0,00:00,40.81
0 days 00:02:44,125,0.0,00:00,40.81
0 days 00:02:45,125,0.0,00:00,40.81
0 days 00:02:46,127,0.0,00:00,40.81
0 days 00:02:47,127,0.0,00:00,40.81
0 days 00:02:48,127,0.0,00:00,40.81
0 days 00:02:49,130,0.0,00:00,40.81
0 days 00:02:50,131,0.0,00:00,40.81
0 days 00:02:51,131,0.0,00:00,40.81
0 days 00:02:52,132,0.0,00:00,40.81
0 days 00:02:53,132,0.0,00:00,40.81
0 days 00:02:54,132,0.0,00:00,40.81
0 days 00:02:55,132,0.0,00:00,40.81
0 days 00:02:56,132,0.0,00:00,40.81
0 days 00:02:57,132,0.0,00:00,40.81
0 days 00:02:58,132,0.0,00:00,40.81
0 days 00:02:59,132,0.0,00:00,40.81
0 days 00:03:00,132,0.0,00:00,40.81
0 days 00:03:01,132,0.0,00:00,41.57
0 days 00:03:02,132,0.4,146:03,42.34
0 days 00:03:03,132,0.4,156:25,42.99
0 days 00:03:04,132,0.4,165:17,43.14
0 days 00:03:05,131,0.6,104:52,43.77
0 days 00:03:06,131,0.5,120:46,44.08
0 days 00:03:07,131,0.4,165:26,44.12
0 days 00:03:08,131,0.4,156:49,44.35
0 days 00:03:09,130,0.8,71:07,45.07
0 days 00:03:10,130,1.0,58:04,45.26
0 days 00:03:11,130,0.7,87:06,45.73
0 days 00:03:12,130,0.5,130:38,45.73
0 days 00:03:13,129,0.7,80:41,46.17
0 days 00:03:14,129,1.1,56:31,46.93
0 days 00:03:15,129,1.2,50:34,47.69
0 days 00:03:16,129,1.3,44:33,48.45
0 days 00:03:17,129,1.4,44:11,49.22
0 days 00:03:18,129,1.8,33:15,49.98
0 days 00:03:19,128,2.5,24:03,50.74
0 days 00:03:20,128,2.7,22:36,51.5
0 days 00:03:21,129,2.3,25:37,52.27
0 days 00:03:22,130,2.3,26:33,53.03
0 days 00:03:23,130,2.5,23:47,53.79
0 days 00:03:24,130,2.6,22:50,54.55
0 days 00:03:25,126,2.7,21:52,55.32
0 days 00:03:26,124,2.1,28:09,56.08
0 days 00:03:27,123,2.0,29:27,56.84
0 days 00:03:28,122,1.4,44:11,57.6
0 days 00:03:29,119,0.9,66:17,58.36
0 days 00:03:30,117,0.6,99:25,59.13
0 days 00:03:31,116,0.8,79:54,59.89
0 days 00:03:32,111,0.5,119:51,60.65
0 days 00:03:33,107,0.3,179:48,61.41
0 days 00:03:34,106,0.2,269:40,62.18
0 days 00:03:35,106,0.2,334:16,62.94
0 days 00:03:36,103,0.1,501:15,63.7
0 days 00:03:37,101,0.1,00:00,64.46
0 days 00:03:38,100,0.1,00:00,65.23
0 days 00:03:39,99,0.1,472:49,65.99
0 days 00:03:40,99,0.1,00:00,66.75
0 days 00:03:41,99,0.1,524:56,67.51
0 days 00:03:42,100,0.1,591:08,68.28
0 days 00:03:43,101,0.4,150:59,68.88
0 days 00:03:44,101,0.4,134:48,69.64
0 days 00:03:45,101,0.4,146:53,70.4
0 days 00:03:46,100,0.3,191:56,71.14
0 days 00:03:47,100,0.2,287:54,71.36
0 days 00:03:48,99,0.2,314:18,71.45
0 days 00:03:49,98,0.1,471:20,71.7
0 days 00:03:50,97,0.1,00:00,71.7
0 days 00:03:51,96,0.2,246:37,71.85
0 days 00:03:52,93,0.3,204:51,72.01
